date,nav_hold,nav_switch_A,nav_switch_B
20240822,11343336.396526316,9345647.249571232,6891985.737882641
20240823,11383076.889273979,9345647.249571232,6916131.271406375
20240826,11359023.433137236,9345647.249571232,6901516.869536747
20240827,11295229.484252831,9345647.249571232,6862756.934143385
20240828,11173996.847469985,9345647.249571232,6789098.39361653
20240829,11369481.457544515,9345647.249571232,6907870.95730615
20240830,11609935.572570346,9345647.249571232,7053966.098404205
20240902,11222264.65242666,9345647.249571232,6818424.952552239
20240903,11342934.164818345,9345647.249571232,6891741.349891511
20240904,11262487.823223889,9345647.249571232,6842863.7516653305
20240905,11301745.637921983,9345647.249571232,6866716.019599707
20240906,11246398.554904997,9345647.249571232,6833088.232020093
20240909,11061371.969237749,9345647.249571232,6720669.756099878
20240910,11085505.871716086,9345647.249571232,6735333.035567732
20240911,11101595.140034975,9345647.249571232,6745108.555212967
20240912,10740069.280909488,9345647.249571232,6525452.62878451
20240913,10491248.746357838,9345647.249571232,6374274.217470934
20240918,10191747.016601676,9345647.249571232,6192302.919274862
20240919,10144283.675060945,9345647.249571232,6163465.136321415
20240920,10167774.006806526,9345647.249571232,6177737.39500346
20240923,10148627.777507046,9345647.249571232,6186528.5902041625
20240924,11042064.847255077,9345647.249571232,6186528.5902041625
20240925,11254443.189064443,9345647.249571232,6186528.5902041625
20240926,12300245.629792375,9345647.249571232,6186528.5902041625
20240927,13106317.972568829,9345647.249571232,6291252.221711498
20240930,14062020.51071097,9345647.249571232,6750005.452707892
20241008,13860904.65672483,9345647.249571232,6653466.473121109
20241009,12832398.179439705,9345647.249571232,6159766.131514299
20241010,13193200.02149084,9345647.249571232,6332957.060892988
20241011,12911557.37956865,9345647.249571232,6197763.873879657
20241014,12887423.477090312,9345647.249571232,6186179.196329243
20241015,12503372.642318377,9345647.249571232,6001828.360910322
20241016,12247955.507755978,9345647.249571232,5879223.856835106
20241017,12023510.214707445,9345647.249571232,5771486.355616257
20241018,12396781.239705723,9345647.249571232,5950662.7017293265
20241021,12298636.702960486,9345647.249571232,5903551.679690976
20241022,12412870.508024614,9345647.249571232,5958385.820096268
20241023,12609964.044931032,9345647.249571232,6052994.020091317
20241024,12486881.142291516,9345647.249571232,5993912.1645842055
20241025,12540377.959451828,9345647.249571232,6019591.533154289
20241028,12589852.45953242,9345647.249571232,6043340.1221326385
20241029,12321322.571290122,9345647.249571232,5914441.2765883645
20241030,12324379.532270713,9345647.249571232,5915908.669078085
20241031,12290511.622459447,9345647.249571232,5899651.5049156705
20241101,12338457.642049743,9345647.249571232,5922666.397649159
20241104,12454702.605653733,9345647.249571232,5978465.92785032
20241105,12686307.623104172,9345647.249571232,6089640.21674246
20241106,12638120.264489094,9345647.249571232,6066509.477233467
20241107,13266727.977708176,9345647.249571232,6368251.711829917
20241108,12951619.657682689,9345647.249571232,6216994.438613344
20241111,12855405.833135718,9345647.249571232,6170810.1907790275
20241112,12687996.996277656,9345647.249571232,6090451.144170989
20241113,12698455.020684935,9345647.249571232,6095471.171109501
20241114,12660645.24013554,9345647.249571232,6077321.842947186
20241115,12541584.654575745,9345647.249571232,6020170.76703181
20241118,12541584.654575745,9345647.249571232,6020170.76703181
20241119,12404182.303132413,9345647.249571232,5954215.33617812
20241120,12427431.29585321,9345647.249571232,5965375.242218352
